"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Jan-2022","     9236.35","     9358.75","     9235.10","     9348.00","     1308173978","        29829.78"
"04-Jan-2022","     9380.40","     9432.30","     9325.55","     9422.45","     1292699750","        34598.80"
"05-Jan-2022","     9428.45","     9485.75","     9391.35","     9477.20","     1366439797","        41670.76"
"06-Jan-2022","     9400.50","     9422.40","     9351.60","     9405.40","     1194677128","        38879.53"
"07-Jan-2022","     9432.05","     9485.25","     9384.25","     9442.65","     1190968679","        39095.40"
"10-Jan-2022","     9489.95","     9538.90","     9472.95","     9532.60","     1098662631","        37058.66"
"11-Jan-2022","     9530.45","     9567.90","     9510.85","     9554.60","     2989958922","        41313.88"
"12-Jan-2022","     9613.85","     9647.85","     9593.00","     9640.75","     1672702626","        41811.98"
"13-Jan-2022","     9665.75","     9679.45","     9616.25","     9672.75","     1218896599","        45994.51"
"14-Jan-2022","     9637.05","     9689.10","     9606.60","     9673.90","      944843753","        39391.23"
"17-Jan-2022","     9670.45","     9708.40","     9662.30","     9702.05","      957912197","        39984.70"
"18-Jan-2022","     9723.75","     9733.20","     9562.60","     9579.50","     1045478626","        40943.06"
"19-Jan-2022","     9586.25","     9586.25","     9470.05","     9509.85","     1142693785","        47077.49"
"20-Jan-2022","     9504.20","     9513.20","     9382.95","     9435.90","      912699870","        44239.65"
"21-Jan-2022","     9367.15","     9394.55","     9260.80","     9330.85","     1073014072","        46980.55"
"24-Jan-2022","     9314.75","     9322.15","     8971.95","     9055.15","     1574007993","        52092.90"
"25-Jan-2022","     8972.55","     9143.00","     8878.25","     9128.55","     1499463235","        54387.12"
"27-Jan-2022","     9026.50","     9067.10","     8909.35","     9031.25","     1696348602","        61959.12"
"28-Jan-2022","     9087.20","     9197.85","     9040.50","     9054.70","     1538427258","        53445.90"
"31-Jan-2022","     9161.35","     9216.80","     9141.40","     9179.15","     1254107981","        45437.36"
"01-Feb-2022","     9274.65","     9320.15","     9135.65","     9305.60","     1595353475","        53317.89"
"02-Feb-2022","     9367.55","     9419.25","     9355.90","     9411.95","     1497228282","        42743.30"
"03-Feb-2022","     9404.85","     9409.85","     9284.30","     9307.45","     1241427994","        40341.23"
"04-Feb-2022","     9321.50","     9340.40","     9254.15","     9280.15","     1330550283","        40441.22"
"07-Feb-2022","     9262.10","     9303.05","     9093.35","     9141.70","     1358335629","        41892.39"
"08-Feb-2022","     9176.00","     9192.60","     9039.65","     9147.65","     1352677507","        44236.00"
"09-Feb-2022","     9199.85","     9257.90","     9186.65","     9251.20","     1014255789","        35946.55"
"10-Feb-2022","     9294.35","     9329.75","     9227.10","     9315.90","     1223508437","        40646.84"
"11-Feb-2022","     9239.45","     9240.45","     9159.40","     9183.90","     1012840464","        40446.40"
"14-Feb-2022","     9014.35","     9031.40","     8870.50","     8889.10","     1299352808","        44124.97"
"15-Feb-2022","     8932.75","     9160.25","     8867.20","     9148.70","     1310507536","        44289.20"
"16-Feb-2022","     9186.30","     9224.90","     9110.90","     9131.70","     1094987251","        37336.90"
"17-Feb-2022","     9172.45","     9197.80","     9093.10","     9125.25","      897999813","        33068.85"
"18-Feb-2022","     9087.40","     9155.35","     9078.30","     9091.10","      839707998","        28670.54"
"21-Feb-2022","     9047.70","     9116.45","     8970.40","     9034.05","     1217763446","        33230.45"
"22-Feb-2022","     8837.75","     8998.30","     8836.50","     8975.75","     1303330006","        41778.16"
"23-Feb-2022","     9031.05","     9054.60","     8965.65","     8981.75","     1018367280","        32665.38"
"24-Feb-2022","     8704.65","     8784.00","     8512.80","     8532.40","     2359487329","        65467.25"
"25-Feb-2022","     8680.35","     8819.35","     8670.90","     8779.15","     1622555541","        46962.49"
"28-Feb-2022","     8690.70","     8863.75","     8621.05","     8855.50","     1611276171","        55190.79"
"02-Mar-2022","     8760.85","     8819.85","     8719.80","     8782.35","     1606775353","        59487.03"
"03-Mar-2022","     8858.50","     8879.65","     8708.15","     8735.05","     1630182444","        52162.89"
"04-Mar-2022","     8660.50","     8699.40","     8539.95","     8585.00","     1799185707","        55947.37"
"07-Mar-2022","     8397.85","     8425.15","     8300.05","     8379.20","     1772603140","        57806.53"
"08-Mar-2022","     8336.10","     8475.60","     8286.35","     8467.30","     1615238023","        59233.20"
"09-Mar-2022","     8512.45","     8674.60","     8470.80","     8636.05","     1448839322","        54763.73"
"10-Mar-2022","     8844.00","     8844.70","     8694.60","     8765.95","     1552916627","        57292.30"
"11-Mar-2022","     8735.60","     8812.15","     8705.10","     8792.00","     1126128886","        39982.22"
"14-Mar-2022","     8795.80","     8893.15","     8764.65","     8884.45","     1097490803","        41760.33"
"15-Mar-2022","     8902.25","     8918.00","     8727.20","     8782.45","     1337263581","        49175.90"
"16-Mar-2022","     8892.20","     8958.05","     8876.20","     8952.35","      943826687","        38212.84"
"17-Mar-2022","     9068.05","     9129.05","     9054.90","     9107.60","     2075138599","        60731.65"
"21-Mar-2022","     9135.80","     9146.90","     9013.80","     9021.90","     1084002706","        39866.42"
"22-Mar-2022","     9026.00","     9113.80","     8951.35","     9104.75","     1109237042","        44204.57"
"23-Mar-2022","     9154.40","     9170.95","     9062.85","     9087.15","     1298087597","        44582.25"
"24-Mar-2022","     9022.15","     9116.60","     9020.15","     9086.80","     1179871996","        44034.85"
"25-Mar-2022","     9124.85","     9127.65","     9016.25","     9058.50","      984545370","        39365.70"
"28-Mar-2022","     9077.65","     9085.60","     8975.45","     9079.70","     1068322030","        38932.38"
"29-Mar-2022","     9121.45","     9138.40","     9086.30","     9130.60","     1086848364","        37475.57"
"30-Mar-2022","     9203.50","     9231.20","     9165.60","     9213.50","     1645293152","        53978.29"
"31-Mar-2022","     9228.95","     9250.75","     9190.70","     9207.00","     1363737208","        47762.81"
"01-Apr-2022","     9201.35","     9340.60","     9195.65","     9324.35","     1352889656","        40726.60"
"04-Apr-2022","     9389.95","     9521.35","     9383.45","     9514.70","     1373119866","        58253.58"
"05-Apr-2022","     9540.50","     9562.95","     9487.50","     9504.95","     1278075699","        52241.80"
"06-Apr-2022","     9455.40","     9496.00","     9438.20","     9458.55","     2223874956","        52763.10"
"07-Apr-2022","     9429.60","     9472.90","     9367.80","     9375.65","     2336001833","        54893.20"
"08-Apr-2022","     9416.45","     9491.90","     9373.30","     9464.30","     1704051821","        48932.88"
"11-Apr-2022","     9457.00","     9486.40","     9426.85","     9446.85","     1180571251","        41923.59"
"12-Apr-2022","     9416.15","     9417.20","     9300.05","     9351.70","     1211359891","        47266.19"
"13-Apr-2022","     9395.15","     9424.45","     9323.55","     9332.25","      914655454","        35714.52"
"18-Apr-2022","     9201.25","     9223.25","     9130.25","     9197.35","     1147982675","        50219.22"
"19-Apr-2022","     9250.90","     9266.60","     9004.80","     9073.60","     1169279546","        56408.56"
"20-Apr-2022","     9123.45","     9189.20","     9085.45","     9157.95","      955959667","        43604.87"
